comfort_food
none
"chocolate, chips, ice cream"
"frozen yogurt, pizza, fast food"
"pizza, mac and cheese, ice cream"
"ice cream, chocolate, chips"
"candy, brownies and soda."
"chocolate, ice cream, french fries, pretzels"
"ice cream, cheeseburgers, chips."
"donuts, ice cream, chips"
"mac and cheese, chocolate, and pasta"
"pasta, grandma homemade chocolate cake anything homemade"
"chocolate, pasta, soup, chips, popcorn"
"cookies, popcorn, and chips"
"ice cream, cake, chocolate"
"pizza, fruit, spaghetti, chicken and potatoes"
"cookies, donuts, candy bars"
"saltfish, candy and kit kat"
"chips, cookies, ice cream"
"chocolate, ice crea"
"pizza, wings, chinese"
"fast food, pizza, subs"
"chocolate, sweets, ice cream"
"burgers, chips, cookies"
"chilli, soup, pot pie"
"soup, pasta, brownies, cake"
"chocolate, ice cream/milkshake, cookies"
"chips, ice cream, microwaveable foods"
"chicken fingers, pizza"
"cookies, hot chocolate, beef jerky"
"tomato soup, pizza, fritos, meatball sub, dr. pepper"
"cookies, mac-n-cheese, brownies, french fries,"
"chips and dip, pepsi,"
"grandma's chinese, peruvian food from back home, and sushi"
"ice cream, cookies, chinese food, and chicken nuggets"
"french fries, chips, ice cream"
"mac n cheese, peanut butter and banana sandwich, omelet"
"pizza, doughnuts, mcdonalds"
"chocolate, chips, candy"
"chocolate, popcorn, ice cream"
candy pop chocolate chipotle moe's
"pizza, ice cream, fries, cereal, cookies"
"ice cream, chocolate, twizzlers"
"ice cream, cookie dough, cookies, cheese"
"ice cream, cereal, and salt and vinegar chips"
"potato chips, ice cream, chocolate, cookies"
"mac and cheese, fried chicken, cornbread"
"popcorn, chips, candy, and fries"
"chex-mix, wegmans cookies, cheez-its"
"pizza, ice cream, chips"
"fried chicken. mashed potatoes, mac and cheese"
"popcorn, chex mix, pizza"
burger
"pizza, chocolate, and ice cream"
"fries, chips, fried chicken, pizza, grapes"
"peanut butter sandwich, pretzals, garlic bread"
"chips, dip, fries, pizza"
"pizza, ice cream, chicken wings"
pizza chocolate chips bagels ice capps
"chocolate, ice cream, pasta"
mac n cheese. chips and salsa. ice cream.
"peanut butter, dessets, pretzels."
"macaroons, truffles, peanut butter n chocolate ice cream"
"ice cream, cookies, ice cream"
"carrots and ranch, pretzels, dark chocolate"
"cookies, nutella, ice cream, coffee, fruit"
mac and cheese
"chocolate, popcorn, icecream"
"ice cream, cake, mozzarella sticks, pierogies"
"chips, mac and cheese, pizza, french fries"
"pizza, burritos, slim jims"
"broccoli, spaghetti squash, quinoa, and grilled chicken"
"chocolate, ice cream, cookie dough"
"pizza, pretzels, fruit snacks, deli sandwhich"
"chips, ice cream"
"mac and cheese, potato soup, ice cream, chips and cheese"
"chocolate, pizza, and mashed potatoes"
pizza cookies steak
"chocolate, fruit, and ice cream"
chips sweets popcorn
"cookies, burgers, chicken noodle soup, ice cream"
"cake, french fries, chicken nuggets"
"pizza, ice cream, cookies"
"mashed potatoes, pasta"
"pasta dishes, cheesecake, pancakes"
"ice cream, pizza, cookies"
"chinese food, moes, sponge candy, homemade lasagne"
"pizza, pasta, mac and cheese"
"little debbie snacks, donuts, pizza"
"carrots, plantain chips, almonds, popcorn"
"chips, ice cream, fruit snacks"
"macaroni and cheese, chicken noodle soup, pizza"
"chocolate, chips, ice cream, french fires, pizza"
"mac and cheese, lasagna, chinese food"
"candy, chinese, mcdonalds"
"doritos, mac and cheese, ice cream"
"ice cream, cake, pop, pizza, and milkshakes."
"mac and cheese, pizza, ice cream and french fries"
"soup, pasta, cake"
"mac and cheese, frosted brownies, chicken nuggs"
